,step,acc,seq_length,seed,model
0,0,0.63671875,41,42,LSTM
1,10,0.65625,41,42,LSTM
2,20,0.7109375,41,42,LSTM
3,30,0.69921875,41,42,LSTM
4,40,0.64453125,41,42,LSTM
5,50,0.6484375,41,42,LSTM
6,60,0.69140625,41,42,LSTM
7,70,0.65234375,41,42,LSTM
8,80,0.69140625,41,42,LSTM
9,90,0.65625,41,42,LSTM
10,100,0.65625,41,42,LSTM
11,110,0.671875,41,42,LSTM
12,120,0.66796875,41,42,LSTM
13,130,0.703125,41,42,LSTM
14,140,0.67578125,41,42,LSTM
15,150,0.66796875,41,42,LSTM
16,160,0.6328125,41,42,LSTM
17,170,0.67578125,41,42,LSTM
18,180,0.66796875,41,42,LSTM
19,190,0.6796875,41,42,LSTM
20,200,0.671875,41,42,LSTM
21,210,0.62109375,41,42,LSTM
22,220,0.6953125,41,42,LSTM
23,230,0.6875,41,42,LSTM
24,240,0.66015625,41,42,LSTM
25,250,0.67578125,41,42,LSTM
26,260,0.6484375,41,42,LSTM
27,270,0.6328125,41,42,LSTM
28,280,0.66796875,41,42,LSTM
29,290,0.64453125,41,42,LSTM
30,300,0.67578125,41,42,LSTM
31,310,0.69921875,41,42,LSTM
32,320,0.6796875,41,42,LSTM
33,330,0.62109375,41,42,LSTM
34,340,0.6640625,41,42,LSTM
35,350,0.7265625,41,42,LSTM
36,360,0.6953125,41,42,LSTM
37,370,0.71875,41,42,LSTM
38,380,0.63671875,41,42,LSTM
39,390,0.58984375,41,42,LSTM
40,400,0.67578125,41,42,LSTM
41,410,0.7421875,41,42,LSTM
42,420,0.65234375,41,42,LSTM
43,430,0.6640625,41,42,LSTM
44,440,0.6328125,41,42,LSTM
45,450,0.68359375,41,42,LSTM
46,460,0.6796875,41,42,LSTM
47,470,0.66796875,41,42,LSTM
48,480,0.62109375,41,42,LSTM
49,490,0.68359375,41,42,LSTM
50,500,0.63671875,41,42,LSTM
51,510,0.68359375,41,42,LSTM
52,520,0.671875,41,42,LSTM
53,530,0.6875,41,42,LSTM
54,540,0.6875,41,42,LSTM
55,550,0.67578125,41,42,LSTM
56,560,0.65625,41,42,LSTM
57,570,0.640625,41,42,LSTM
58,580,0.6796875,41,42,LSTM
59,590,0.66796875,41,42,LSTM
60,600,0.65625,41,42,LSTM
61,610,0.66015625,41,42,LSTM
62,620,0.609375,41,42,LSTM
63,630,0.60546875,41,42,LSTM
64,640,0.65625,41,42,LSTM
