,step,loss,seq_length,seed,model
0,0,1.0970299243927002,41,42,LSTM
1,10,0.9278039932250977,41,42,LSTM
2,20,0.7749232053756714,41,42,LSTM
3,30,0.7012842297554016,41,42,LSTM
4,40,0.6930564641952515,41,42,LSTM
5,50,0.6618272662162781,41,42,LSTM
6,60,0.6278200745582581,41,42,LSTM
7,70,0.6567401885986328,41,42,LSTM
8,80,0.6248309016227722,41,42,LSTM
9,90,0.6481198072433472,41,42,LSTM
10,100,0.648087739944458,41,42,LSTM
11,110,0.6392810940742493,41,42,LSTM
12,120,0.6372607946395874,41,42,LSTM
13,130,0.6152029037475586,41,42,LSTM
14,140,0.6314507722854614,41,42,LSTM
15,150,0.6389037370681763,41,42,LSTM
16,160,0.6642140746116638,41,42,LSTM
17,170,0.6318433284759521,41,42,LSTM
18,180,0.6369226574897766,41,42,LSTM
19,190,0.6257486939430237,41,42,LSTM
20,200,0.6336818933486938,41,42,LSTM
21,210,0.6724125742912292,41,42,LSTM
22,220,0.6183764338493347,41,42,LSTM
23,230,0.6237391829490662,41,42,LSTM
24,240,0.6412760615348816,41,42,LSTM
25,250,0.6292641758918762,41,42,LSTM
26,260,0.64866703748703,41,42,LSTM
27,270,0.6600561141967773,41,42,LSTM
28,280,0.637175440788269,41,42,LSTM
29,290,0.6492066383361816,41,42,LSTM
30,300,0.6285125017166138,41,42,LSTM
31,310,0.614439845085144,41,42,LSTM
32,320,0.6275310516357422,41,42,LSTM
33,330,0.6658365726470947,41,42,LSTM
34,340,0.637197732925415,41,42,LSTM
35,350,0.5891519784927368,41,42,LSTM
36,360,0.6155756711959839,41,42,LSTM
37,370,0.601189136505127,41,42,LSTM
38,380,0.659170389175415,41,42,LSTM
39,390,0.6882520914077759,41,42,LSTM
40,400,0.6325218677520752,41,42,LSTM
41,410,0.5950482487678528,41,42,LSTM
42,420,0.6428679823875427,41,42,LSTM
43,430,0.6380251049995422,41,42,LSTM
44,440,0.6579453349113464,41,42,LSTM
45,450,0.6220346689224243,41,42,LSTM
46,460,0.6230847239494324,41,42,LSTM
47,470,0.6365704536437988,41,42,LSTM
48,480,0.6722243428230286,41,42,LSTM
49,490,0.6245436668395996,41,42,LSTM
50,500,0.6557875871658325,41,42,LSTM
51,510,0.6226150989532471,41,42,LSTM
52,520,0.6330341696739197,41,42,LSTM
53,530,0.622420608997345,41,42,LSTM
54,540,0.6221634745597839,41,42,LSTM
55,550,0.6272759437561035,41,42,LSTM
56,560,0.6392703056335449,41,42,LSTM
57,570,0.6419817805290222,41,42,LSTM
58,580,0.6248689889907837,41,42,LSTM
59,590,0.6258040070533752,41,42,LSTM
60,600,0.6392234563827515,41,42,LSTM
61,610,0.6316803693771362,41,42,LSTM
62,620,0.6768902540206909,41,42,LSTM
63,630,0.6714629530906677,41,42,LSTM
64,640,0.6353373527526855,41,42,LSTM
65,650,0.613654375076294,41,42,LSTM
66,660,0.621806800365448,41,42,LSTM
67,670,0.6221070289611816,41,42,LSTM
68,680,0.620040237903595,41,42,LSTM
69,690,0.5857864618301392,41,42,LSTM
70,700,0.5767500996589661,41,42,LSTM
71,710,0.6294129490852356,41,42,LSTM
72,720,0.6217889189720154,41,42,LSTM
73,730,0.5842675566673279,41,42,LSTM
74,740,0.6459898352622986,41,42,LSTM
75,750,0.6672461628913879,41,42,LSTM
76,760,0.5927841067314148,41,42,LSTM
77,770,0.6020839214324951,41,42,LSTM
78,780,0.6268771290779114,41,42,LSTM
79,790,0.6151281595230103,41,42,LSTM
80,800,0.5804288983345032,41,42,LSTM
81,810,0.5826405882835388,41,42,LSTM
82,820,0.5901857018470764,41,42,LSTM
83,830,0.5874471068382263,41,42,LSTM
84,840,0.6137559413909912,41,42,LSTM
85,850,0.6152313947677612,41,42,LSTM
86,860,0.6324039101600647,41,42,LSTM
87,870,0.6262336373329163,41,42,LSTM
88,880,0.5753222107887268,41,42,LSTM
89,890,0.5830932855606079,41,42,LSTM
90,900,0.5642202496528625,41,42,LSTM
91,910,0.5854995250701904,41,42,LSTM
92,920,0.5667867660522461,41,42,LSTM
93,930,0.5966001152992249,41,42,LSTM
94,940,0.5228742957115173,41,42,LSTM
95,950,0.6108339428901672,41,42,LSTM
96,960,0.6142182946205139,41,42,LSTM
97,970,0.5616820454597473,41,42,LSTM
98,980,0.5747297406196594,41,42,LSTM
99,990,0.5382770895957947,41,42,LSTM
100,1000,0.5286383032798767,41,42,LSTM
101,1010,0.5828671455383301,41,42,LSTM
102,1020,0.5438152551651001,41,42,LSTM
103,1030,0.4908207058906555,41,42,LSTM
104,1040,0.45287075638771057,41,42,LSTM
105,1050,0.4645046889781952,41,42,LSTM
106,1060,0.4256897270679474,41,42,LSTM
107,1070,0.505882203578949,41,42,LSTM
108,1080,0.49185267090797424,41,42,LSTM
109,1090,0.46038559079170227,41,42,LSTM
110,1100,0.4411015212535858,41,42,LSTM
111,1110,0.4715164601802826,41,42,LSTM
112,1120,0.42134889960289,41,42,LSTM
113,1130,0.3881288170814514,41,42,LSTM
114,1140,0.38089433312416077,41,42,LSTM
115,1150,0.3727273643016815,41,42,LSTM
116,1160,0.4385121762752533,41,42,LSTM
117,1170,0.3543049395084381,41,42,LSTM
118,1180,0.34498122334480286,41,42,LSTM
119,1190,0.3679180145263672,41,42,LSTM
120,1200,0.4048314392566681,41,42,LSTM
121,1210,0.3982701301574707,41,42,LSTM
122,1220,0.35204243659973145,41,42,LSTM
123,1230,0.32496604323387146,41,42,LSTM
124,1240,0.32643964886665344,41,42,LSTM
125,1250,0.35489174723625183,41,42,LSTM
126,1260,0.28425130248069763,41,42,LSTM
127,1270,0.3338235914707184,41,42,LSTM
128,1280,0.36523929238319397,41,42,LSTM
129,1290,0.44989827275276184,41,42,LSTM
130,1300,0.2862146496772766,41,42,LSTM
131,1310,0.2956145405769348,41,42,LSTM
132,1320,0.275795042514801,41,42,LSTM
133,1330,0.29450666904449463,41,42,LSTM
134,1340,0.31865546107292175,41,42,LSTM
135,1350,0.30129414796829224,41,42,LSTM
136,1360,0.25719505548477173,41,42,LSTM
137,1370,0.266741007566452,41,42,LSTM
138,1380,0.31965741515159607,41,42,LSTM
139,1390,0.27154529094696045,41,42,LSTM
140,1400,0.24765250086784363,41,42,LSTM
141,1410,0.23534677922725677,41,42,LSTM
142,1420,0.23775330185890198,41,42,LSTM
143,1430,0.29833361506462097,41,42,LSTM
144,1440,0.28434842824935913,41,42,LSTM
145,1450,0.24980314075946808,41,42,LSTM
146,1460,0.29086288809776306,41,42,LSTM
147,1470,0.2634469270706177,41,42,LSTM
148,1480,0.30879172682762146,41,42,LSTM
149,1490,0.23944245278835297,41,42,LSTM
150,1500,0.27229437232017517,41,42,LSTM
151,1510,0.2349550724029541,41,42,LSTM
152,1520,0.2485157549381256,41,42,LSTM
153,1530,0.21939678490161896,41,42,LSTM
154,1540,0.3103988766670227,41,42,LSTM
155,1550,0.22381360828876495,41,42,LSTM
156,1560,0.28103965520858765,41,42,LSTM
157,1570,0.39653390645980835,41,42,LSTM
158,1580,0.23155011236667633,41,42,LSTM
159,1590,0.24473035335540771,41,42,LSTM
160,1600,0.47099924087524414,41,42,LSTM
161,1610,0.3230677843093872,41,42,LSTM
162,1620,0.22068431973457336,41,42,LSTM
163,1630,0.2529202997684479,41,42,LSTM
164,1640,0.2197786122560501,41,42,LSTM
165,1650,0.17357449233531952,41,42,LSTM
166,1660,0.19497574865818024,41,42,LSTM
167,1670,0.2073708474636078,41,42,LSTM
168,1680,0.3386083245277405,41,42,LSTM
169,1690,0.20240949094295502,41,42,LSTM
170,1700,0.18364277482032776,41,42,LSTM
171,1710,0.21191799640655518,41,42,LSTM
172,1720,0.17334190011024475,41,42,LSTM
173,1730,0.20626936852931976,41,42,LSTM
174,1740,0.19789214432239532,41,42,LSTM
175,1750,0.22638283669948578,41,42,LSTM
176,1760,0.27171245217323303,41,42,LSTM
177,1770,0.24428002536296844,41,42,LSTM
178,1780,0.31874263286590576,41,42,LSTM
179,1790,0.361319363117218,41,42,LSTM
180,1800,0.22167812287807465,41,42,LSTM
181,1810,0.21725289523601532,41,42,LSTM
182,1820,0.21054509282112122,41,42,LSTM
183,1830,0.21388496458530426,41,42,LSTM
184,1840,0.21941088140010834,41,42,LSTM
185,1850,0.15546661615371704,41,42,LSTM
186,1860,0.22209183871746063,41,42,LSTM
187,1870,0.19143055379390717,41,42,LSTM
188,1880,0.15261021256446838,41,42,LSTM
189,1890,0.1483766734600067,41,42,LSTM
190,1900,0.15975992381572723,41,42,LSTM
191,1910,0.1782395839691162,41,42,LSTM
192,1920,0.21858809888362885,41,42,LSTM
193,1930,0.16501662135124207,41,42,LSTM
194,1940,0.17159147560596466,41,42,LSTM
195,1950,0.1851998120546341,41,42,LSTM
196,1960,0.19791476428508759,41,42,LSTM
197,1970,0.20312252640724182,41,42,LSTM
198,1980,0.1543484479188919,41,42,LSTM
199,1990,0.19218458235263824,41,42,LSTM
200,2000,0.24914169311523438,41,42,LSTM
201,2010,0.17853495478630066,41,42,LSTM
202,2020,0.14969635009765625,41,42,LSTM
203,2030,0.1802484095096588,41,42,LSTM
204,2040,0.12172022461891174,41,42,LSTM
205,2050,0.13420629501342773,41,42,LSTM
206,2060,0.14073240756988525,41,42,LSTM
207,2070,0.14583535492420197,41,42,LSTM
208,2080,0.15307281911373138,41,42,LSTM
209,2090,0.12393493950366974,41,42,LSTM
210,2100,0.16414007544517517,41,42,LSTM
211,2110,0.10134671628475189,41,42,LSTM
212,2120,0.14648424088954926,41,42,LSTM
213,2130,0.10129943490028381,41,42,LSTM
214,2140,0.1694410741329193,41,42,LSTM
215,2150,0.1679358035326004,41,42,LSTM
216,2160,0.11167078465223312,41,42,LSTM
217,2170,0.12495450675487518,41,42,LSTM
218,2180,0.1473352462053299,41,42,LSTM
219,2190,0.18811394274234772,41,42,LSTM
220,2200,0.1788080632686615,41,42,LSTM
221,2210,0.13862812519073486,41,42,LSTM
222,2220,0.19047898054122925,41,42,LSTM
223,2230,0.13693509995937347,41,42,LSTM
224,2240,0.11563561856746674,41,42,LSTM
225,2250,0.09361635893583298,41,42,LSTM
226,2260,0.15461401641368866,41,42,LSTM
227,2270,0.14164309203624725,41,42,LSTM
228,2280,0.08531328290700912,41,42,LSTM
229,2290,0.10992978513240814,41,42,LSTM
230,2300,0.13912580907344818,41,42,LSTM
231,2310,0.1384461522102356,41,42,LSTM
232,2320,0.08323383331298828,41,42,LSTM
233,2330,0.13472844660282135,41,42,LSTM
234,2340,0.10313444584608078,41,42,LSTM
235,2350,0.18702004849910736,41,42,LSTM
236,2360,0.08831262588500977,41,42,LSTM
237,2370,0.20348213613033295,41,42,LSTM
238,2380,0.10082636028528214,41,42,LSTM
239,2390,0.0983579158782959,41,42,LSTM
240,2400,0.0510074682533741,41,42,LSTM
241,2410,0.07372324913740158,41,42,LSTM
242,2420,0.055904313921928406,41,42,LSTM
243,2430,0.0664903074502945,41,42,LSTM
244,2440,0.09740063548088074,41,42,LSTM
245,2450,0.06951966881752014,41,42,LSTM
246,2460,0.054086748510599136,41,42,LSTM
247,2470,0.05527224764227867,41,42,LSTM
248,2480,0.08411556482315063,41,42,LSTM
249,2490,0.07661879807710648,41,42,LSTM
250,2500,0.16777582466602325,41,42,LSTM
251,2510,0.054301172494888306,41,42,LSTM
252,2520,0.06659166514873505,41,42,LSTM
253,2530,0.06603635102510452,41,42,LSTM
254,2540,0.23282697796821594,41,42,LSTM
255,2550,0.13954731822013855,41,42,LSTM
256,2560,0.07878752052783966,41,42,LSTM
257,2570,0.06674352288246155,41,42,LSTM
258,2580,0.07249554991722107,41,42,LSTM
259,2590,0.06979493796825409,41,42,LSTM
260,2600,0.05506660044193268,41,42,LSTM
261,2610,0.0503142885863781,41,42,LSTM
262,2620,0.03760506585240364,41,42,LSTM
263,2630,0.06657761335372925,41,42,LSTM
264,2640,0.048735734075307846,41,42,LSTM
265,2650,0.05930900201201439,41,42,LSTM
266,2660,0.03799039125442505,41,42,LSTM
267,2670,0.04403126239776611,41,42,LSTM
268,2680,0.037809234112501144,41,42,LSTM
269,2690,0.042168065905570984,41,42,LSTM
270,2700,0.04868682473897934,41,42,LSTM
271,2710,0.03387606889009476,41,42,LSTM
272,2720,0.056989725679159164,41,42,LSTM
273,2730,0.044378794729709625,41,42,LSTM
274,2740,0.12462153285741806,41,42,LSTM
275,2750,0.043946851044893265,41,42,LSTM
276,2760,0.13266849517822266,41,42,LSTM
277,2770,0.0440664067864418,41,42,LSTM
278,2780,0.059194955974817276,41,42,LSTM
279,2790,0.07635457813739777,41,42,LSTM
280,2800,0.05611881613731384,41,42,LSTM
281,2810,0.093905508518219,41,42,LSTM
282,2820,0.03871952369809151,41,42,LSTM
283,2830,0.03955348581075668,41,42,LSTM
284,2840,0.03168336674571037,41,42,LSTM
285,2850,0.03881838172674179,41,42,LSTM
286,2860,0.11759459227323532,41,42,LSTM
287,2870,0.17232929170131683,41,42,LSTM
288,2880,0.1351557821035385,41,42,LSTM
289,2890,0.05778094753623009,41,42,LSTM
290,2900,0.06528188288211823,41,42,LSTM
291,2910,0.10278884321451187,41,42,LSTM
292,2920,0.12753926217556,41,42,LSTM
293,2930,0.050307679921388626,41,42,LSTM
294,2940,0.05098871886730194,41,42,LSTM
295,2950,0.043464016169309616,41,42,LSTM
296,2960,0.024952154606580734,41,42,LSTM
297,2970,0.028551332652568817,41,42,LSTM
298,2980,0.09493790566921234,41,42,LSTM
299,2990,0.07593122124671936,41,42,LSTM
300,3000,0.03557383269071579,41,42,LSTM
