,step,acc,seq_length,seed,model
0,0,0.64453125,81,42,LSTM
1,10,0.6171875,81,42,LSTM
2,20,0.62890625,81,42,LSTM
3,30,0.65234375,81,42,LSTM
4,40,0.65625,81,42,LSTM
5,50,0.67578125,81,42,LSTM
6,60,0.7109375,81,42,LSTM
7,70,0.6875,81,42,LSTM
8,80,0.70703125,81,42,LSTM
9,90,0.68359375,81,42,LSTM
10,100,0.69140625,81,42,LSTM
11,110,0.65234375,81,42,LSTM
12,120,0.61328125,81,42,LSTM
13,130,0.67578125,81,42,LSTM
14,140,0.71875,81,42,LSTM
15,150,0.6796875,81,42,LSTM
16,160,0.65625,81,42,LSTM
17,170,0.68359375,81,42,LSTM
18,180,0.69921875,81,42,LSTM
19,190,0.6015625,81,42,LSTM
20,200,0.65234375,81,42,LSTM
21,210,0.640625,81,42,LSTM
22,220,0.6953125,81,42,LSTM
23,230,0.69140625,81,42,LSTM
24,240,0.6875,81,42,LSTM
25,250,0.703125,81,42,LSTM
26,260,0.70703125,81,42,LSTM
27,270,0.71875,81,42,LSTM
28,280,0.671875,81,42,LSTM
29,290,0.6640625,81,42,LSTM
30,300,0.6328125,81,42,LSTM
31,310,0.65625,81,42,LSTM
32,320,0.640625,81,42,LSTM
33,330,0.63671875,81,42,LSTM
34,340,0.640625,81,42,LSTM
35,350,0.7265625,81,42,LSTM
36,360,0.64453125,81,42,LSTM
37,370,0.6953125,81,42,LSTM
38,380,0.64453125,81,42,LSTM
39,390,0.6484375,81,42,LSTM
40,400,0.59765625,81,42,LSTM
41,410,0.71875,81,42,LSTM
42,420,0.66015625,81,42,LSTM
43,430,0.59765625,81,42,LSTM
44,440,0.65625,81,42,LSTM
45,450,0.7265625,81,42,LSTM
46,460,0.61328125,81,42,LSTM
47,470,0.69921875,81,42,LSTM
48,480,0.6328125,81,42,LSTM
49,490,0.65234375,81,42,LSTM
50,500,0.640625,81,42,LSTM
51,510,0.6875,81,42,LSTM
52,520,0.7265625,81,42,LSTM
53,530,0.72265625,81,42,LSTM
54,540,0.69921875,81,42,LSTM
55,550,0.6640625,81,42,LSTM
56,560,0.66015625,81,42,LSTM
57,570,0.6875,81,42,LSTM
58,580,0.66015625,81,42,LSTM
59,590,0.66015625,81,42,LSTM
60,600,0.64453125,81,42,LSTM
61,610,0.6875,81,42,LSTM
62,620,0.640625,81,42,LSTM
63,630,0.6875,81,42,LSTM
64,640,0.64453125,81,42,LSTM
65,650,0.69921875,81,42,LSTM
66,660,0.703125,81,42,LSTM
67,670,0.734375,81,42,LSTM
68,680,0.69140625,81,42,LSTM
69,690,0.6640625,81,42,LSTM
70,700,0.67578125,81,42,LSTM
71,710,0.64453125,81,42,LSTM
72,720,0.69140625,81,42,LSTM
73,730,0.6875,81,42,LSTM
74,740,0.6953125,81,42,LSTM
75,750,0.65234375,81,42,LSTM
76,760,0.75390625,81,42,LSTM
77,770,0.61328125,81,42,LSTM
78,780,0.6484375,81,42,LSTM
79,790,0.67578125,81,42,LSTM
80,800,0.6171875,81,42,LSTM
81,810,0.6484375,81,42,LSTM
82,820,0.671875,81,42,LSTM
83,830,0.6640625,81,42,LSTM
84,840,0.62890625,81,42,LSTM
85,850,0.62109375,81,42,LSTM
86,860,0.6953125,81,42,LSTM
87,870,0.65625,81,42,LSTM
88,880,0.66796875,81,42,LSTM
89,890,0.68359375,81,42,LSTM
90,900,0.6640625,81,42,LSTM
91,910,0.671875,81,42,LSTM
92,920,0.65625,81,42,LSTM
93,930,0.671875,81,42,LSTM
94,940,0.703125,81,42,LSTM
95,950,0.66796875,81,42,LSTM
96,960,0.65625,81,42,LSTM
97,970,0.6796875,81,42,LSTM
98,980,0.671875,81,42,LSTM
99,990,0.64453125,81,42,LSTM
100,1000,0.68359375,81,42,LSTM
101,1010,0.71484375,81,42,LSTM
102,1020,0.65234375,81,42,LSTM
103,1030,0.6328125,81,42,LSTM
104,1040,0.69140625,81,42,LSTM
105,1050,0.62890625,81,42,LSTM
106,1060,0.67578125,81,42,LSTM
107,1070,0.66015625,81,42,LSTM
108,1080,0.6953125,81,42,LSTM
109,1090,0.69140625,81,42,LSTM
110,1100,0.61328125,81,42,LSTM
111,1110,0.71484375,81,42,LSTM
112,1120,0.640625,81,42,LSTM
113,1130,0.6875,81,42,LSTM
114,1140,0.66015625,81,42,LSTM
115,1150,0.65234375,81,42,LSTM
116,1160,0.65234375,81,42,LSTM
117,1170,0.62109375,81,42,LSTM
118,1180,0.6171875,81,42,LSTM
119,1190,0.6484375,81,42,LSTM
120,1200,0.69140625,81,42,LSTM
121,1210,0.63671875,81,42,LSTM
122,1220,0.6484375,81,42,LSTM
123,1230,0.65234375,81,42,LSTM
124,1240,0.65625,81,42,LSTM
125,1250,0.71484375,81,42,LSTM
126,1260,0.63671875,81,42,LSTM
127,1270,0.703125,81,42,LSTM
128,1280,0.7265625,81,42,LSTM
129,1290,0.6953125,81,42,LSTM
130,1300,0.65234375,81,42,LSTM
131,1310,0.64453125,81,42,LSTM
132,1320,0.6328125,81,42,LSTM
133,1330,0.6875,81,42,LSTM
134,1340,0.640625,81,42,LSTM
135,1350,0.6328125,81,42,LSTM
136,1360,0.65234375,81,42,LSTM
137,1370,0.63671875,81,42,LSTM
138,1380,0.71484375,81,42,LSTM
139,1390,0.640625,81,42,LSTM
140,1400,0.68359375,81,42,LSTM
141,1410,0.70703125,81,42,LSTM
142,1420,0.6796875,81,42,LSTM
143,1430,0.62890625,81,42,LSTM
144,1440,0.6328125,81,42,LSTM
145,1450,0.73046875,81,42,LSTM
146,1460,0.6640625,81,42,LSTM
147,1470,0.671875,81,42,LSTM
148,1480,0.69921875,81,42,LSTM
149,1490,0.703125,81,42,LSTM
150,1500,0.66015625,81,42,LSTM
151,1510,0.66015625,81,42,LSTM
152,1520,0.64453125,81,42,LSTM
153,1530,0.69140625,81,42,LSTM
154,1540,0.68359375,81,42,LSTM
155,1550,0.6875,81,42,LSTM
156,1560,0.671875,81,42,LSTM
157,1570,0.63671875,81,42,LSTM
158,1580,0.703125,81,42,LSTM
159,1590,0.6328125,81,42,LSTM
160,1600,0.6796875,81,42,LSTM
161,1610,0.62109375,81,42,LSTM
162,1620,0.68359375,81,42,LSTM
163,1630,0.671875,81,42,LSTM
164,1640,0.671875,81,42,LSTM
165,1650,0.66015625,81,42,LSTM
166,1660,0.640625,81,42,LSTM
167,1670,0.64453125,81,42,LSTM
168,1680,0.6328125,81,42,LSTM
169,1690,0.6328125,81,42,LSTM
170,1700,0.65625,81,42,LSTM
171,1710,0.65234375,81,42,LSTM
172,1720,0.65234375,81,42,LSTM
173,1730,0.6953125,81,42,LSTM
174,1740,0.6484375,81,42,LSTM
175,1750,0.65625,81,42,LSTM
176,1760,0.609375,81,42,LSTM
177,1770,0.671875,81,42,LSTM
178,1780,0.6171875,81,42,LSTM
179,1790,0.68359375,81,42,LSTM
180,1800,0.62109375,81,42,LSTM
