,step,acc,seq_length,seed,model
0,0,0.35546875,81,1994,LSTM
1,10,0.359375,81,1994,LSTM
2,20,0.53515625,81,1994,LSTM
3,30,0.6171875,81,1994,LSTM
4,40,0.703125,81,1994,LSTM
5,50,0.71484375,81,1994,LSTM
6,60,0.65234375,81,1994,LSTM
7,70,0.67578125,81,1994,LSTM
8,80,0.62109375,81,1994,LSTM
9,90,0.67578125,81,1994,LSTM
10,100,0.64453125,81,1994,LSTM
11,110,0.62109375,81,1994,LSTM
12,120,0.6640625,81,1994,LSTM
13,130,0.6328125,81,1994,LSTM
14,140,0.625,81,1994,LSTM
15,150,0.64453125,81,1994,LSTM
16,160,0.63671875,81,1994,LSTM
17,170,0.65625,81,1994,LSTM
18,180,0.66796875,81,1994,LSTM
19,190,0.65625,81,1994,LSTM
20,200,0.6640625,81,1994,LSTM
21,210,0.65234375,81,1994,LSTM
22,220,0.640625,81,1994,LSTM
23,230,0.72265625,81,1994,LSTM
24,240,0.640625,81,1994,LSTM
25,250,0.6796875,81,1994,LSTM
26,260,0.66015625,81,1994,LSTM
27,270,0.6015625,81,1994,LSTM
28,280,0.6640625,81,1994,LSTM
29,290,0.61328125,81,1994,LSTM
30,300,0.69140625,81,1994,LSTM
31,310,0.6640625,81,1994,LSTM
32,320,0.6328125,81,1994,LSTM
33,330,0.6875,81,1994,LSTM
34,340,0.7109375,81,1994,LSTM
35,350,0.61328125,81,1994,LSTM
36,360,0.61328125,81,1994,LSTM
37,370,0.67578125,81,1994,LSTM
38,380,0.66015625,81,1994,LSTM
39,390,0.6484375,81,1994,LSTM
40,400,0.65234375,81,1994,LSTM
41,410,0.69921875,81,1994,LSTM
42,420,0.671875,81,1994,LSTM
43,430,0.6875,81,1994,LSTM
44,440,0.65625,81,1994,LSTM
45,450,0.67578125,81,1994,LSTM
46,460,0.66015625,81,1994,LSTM
47,470,0.609375,81,1994,LSTM
48,480,0.65234375,81,1994,LSTM
49,490,0.671875,81,1994,LSTM
50,500,0.7109375,81,1994,LSTM
51,510,0.66015625,81,1994,LSTM
52,520,0.69140625,81,1994,LSTM
53,530,0.671875,81,1994,LSTM
54,540,0.73046875,81,1994,LSTM
55,550,0.66015625,81,1994,LSTM
56,560,0.7109375,81,1994,LSTM
57,570,0.65625,81,1994,LSTM
58,580,0.64453125,81,1994,LSTM
59,590,0.6875,81,1994,LSTM
60,600,0.671875,81,1994,LSTM
61,610,0.640625,81,1994,LSTM
62,620,0.640625,81,1994,LSTM
63,630,0.67578125,81,1994,LSTM
64,640,0.64453125,81,1994,LSTM
65,650,0.640625,81,1994,LSTM
66,660,0.6796875,81,1994,LSTM
67,670,0.7109375,81,1994,LSTM
68,680,0.7109375,81,1994,LSTM
69,690,0.65625,81,1994,LSTM
70,700,0.65234375,81,1994,LSTM
71,710,0.6484375,81,1994,LSTM
72,720,0.6796875,81,1994,LSTM
73,730,0.72265625,81,1994,LSTM
74,740,0.68359375,81,1994,LSTM
75,750,0.6796875,81,1994,LSTM
76,760,0.67578125,81,1994,LSTM
77,770,0.6484375,81,1994,LSTM
78,780,0.62890625,81,1994,LSTM
79,790,0.6796875,81,1994,LSTM
80,800,0.671875,81,1994,LSTM
81,810,0.69140625,81,1994,LSTM
82,820,0.62890625,81,1994,LSTM
83,830,0.67578125,81,1994,LSTM
84,840,0.66796875,81,1994,LSTM
85,850,0.640625,81,1994,LSTM
86,860,0.67578125,81,1994,LSTM
87,870,0.703125,81,1994,LSTM
88,880,0.68359375,81,1994,LSTM
89,890,0.64453125,81,1994,LSTM
90,900,0.6796875,81,1994,LSTM
91,910,0.66015625,81,1994,LSTM
92,920,0.6015625,81,1994,LSTM
93,930,0.65234375,81,1994,LSTM
94,940,0.6953125,81,1994,LSTM
95,950,0.66796875,81,1994,LSTM
96,960,0.70703125,81,1994,LSTM
97,970,0.69140625,81,1994,LSTM
98,980,0.6640625,81,1994,LSTM
99,990,0.65234375,81,1994,LSTM
100,1000,0.65625,81,1994,LSTM
101,1010,0.6640625,81,1994,LSTM
102,1020,0.6953125,81,1994,LSTM
103,1030,0.66015625,81,1994,LSTM
104,1040,0.671875,81,1994,LSTM
105,1050,0.62890625,81,1994,LSTM
106,1060,0.640625,81,1994,LSTM
107,1070,0.671875,81,1994,LSTM
108,1080,0.69921875,81,1994,LSTM
109,1090,0.69140625,81,1994,LSTM
110,1100,0.66015625,81,1994,LSTM
111,1110,0.71484375,81,1994,LSTM
112,1120,0.6171875,81,1994,LSTM
