,step,acc,seq_length,seed,model
0,0,0.30078125,81,1337,peepLSTM
1,10,0.7109375,81,1337,peepLSTM
2,20,0.66015625,81,1337,peepLSTM
3,30,0.703125,81,1337,peepLSTM
4,40,0.6796875,81,1337,peepLSTM
5,50,0.6484375,81,1337,peepLSTM
6,60,0.6171875,81,1337,peepLSTM
7,70,0.6484375,81,1337,peepLSTM
8,80,0.64453125,81,1337,peepLSTM
9,90,0.6953125,81,1337,peepLSTM
10,100,0.671875,81,1337,peepLSTM
11,110,0.625,81,1337,peepLSTM
12,120,0.6484375,81,1337,peepLSTM
13,130,0.6640625,81,1337,peepLSTM
14,140,0.64453125,81,1337,peepLSTM
15,150,0.67578125,81,1337,peepLSTM
16,160,0.6328125,81,1337,peepLSTM
17,170,0.69921875,81,1337,peepLSTM
18,180,0.64453125,81,1337,peepLSTM
19,190,0.68359375,81,1337,peepLSTM
20,200,0.67578125,81,1337,peepLSTM
21,210,0.66796875,81,1337,peepLSTM
22,220,0.6640625,81,1337,peepLSTM
23,230,0.6796875,81,1337,peepLSTM
24,240,0.65625,81,1337,peepLSTM
25,250,0.68359375,81,1337,peepLSTM
26,260,0.6875,81,1337,peepLSTM
27,270,0.6796875,81,1337,peepLSTM
28,280,0.6484375,81,1337,peepLSTM
29,290,0.703125,81,1337,peepLSTM
30,300,0.6953125,81,1337,peepLSTM
31,310,0.640625,81,1337,peepLSTM
32,320,0.6484375,81,1337,peepLSTM
33,330,0.6796875,81,1337,peepLSTM
34,340,0.64453125,81,1337,peepLSTM
35,350,0.65234375,81,1337,peepLSTM
36,360,0.65234375,81,1337,peepLSTM
37,370,0.68359375,81,1337,peepLSTM
38,380,0.671875,81,1337,peepLSTM
39,390,0.70703125,81,1337,peepLSTM
40,400,0.65625,81,1337,peepLSTM
41,410,0.71484375,81,1337,peepLSTM
42,420,0.6171875,81,1337,peepLSTM
43,430,0.68359375,81,1337,peepLSTM
44,440,0.69921875,81,1337,peepLSTM
45,450,0.68359375,81,1337,peepLSTM
46,460,0.6796875,81,1337,peepLSTM
47,470,0.7109375,81,1337,peepLSTM
48,480,0.6875,81,1337,peepLSTM
49,490,0.640625,81,1337,peepLSTM
50,500,0.70703125,81,1337,peepLSTM
51,510,0.67578125,81,1337,peepLSTM
52,520,0.6328125,81,1337,peepLSTM
53,530,0.6796875,81,1337,peepLSTM
54,540,0.67578125,81,1337,peepLSTM
55,550,0.6484375,81,1337,peepLSTM
56,560,0.67578125,81,1337,peepLSTM
57,570,0.6953125,81,1337,peepLSTM
58,580,0.671875,81,1337,peepLSTM
59,590,0.6953125,81,1337,peepLSTM
60,600,0.64453125,81,1337,peepLSTM
61,610,0.7109375,81,1337,peepLSTM
62,620,0.609375,81,1337,peepLSTM
63,630,0.69921875,81,1337,peepLSTM
64,640,0.71484375,81,1337,peepLSTM
65,650,0.66796875,81,1337,peepLSTM
66,660,0.67578125,81,1337,peepLSTM
67,670,0.671875,81,1337,peepLSTM
68,680,0.671875,81,1337,peepLSTM
69,690,0.65625,81,1337,peepLSTM
70,700,0.6953125,81,1337,peepLSTM
71,710,0.69140625,81,1337,peepLSTM
72,720,0.66796875,81,1337,peepLSTM
73,730,0.6640625,81,1337,peepLSTM
74,740,0.6796875,81,1337,peepLSTM
75,750,0.63671875,81,1337,peepLSTM
76,760,0.65625,81,1337,peepLSTM
77,770,0.65234375,81,1337,peepLSTM
78,780,0.64453125,81,1337,peepLSTM
79,790,0.61328125,81,1337,peepLSTM
80,800,0.6640625,81,1337,peepLSTM
81,810,0.67578125,81,1337,peepLSTM
82,820,0.6875,81,1337,peepLSTM
83,830,0.65625,81,1337,peepLSTM
84,840,0.6484375,81,1337,peepLSTM
85,850,0.73046875,81,1337,peepLSTM
86,860,0.69921875,81,1337,peepLSTM
87,870,0.70703125,81,1337,peepLSTM
88,880,0.65234375,81,1337,peepLSTM
89,890,0.6953125,81,1337,peepLSTM
90,900,0.66796875,81,1337,peepLSTM
91,910,0.65625,81,1337,peepLSTM
92,920,0.6640625,81,1337,peepLSTM
93,930,0.73828125,81,1337,peepLSTM
94,940,0.6875,81,1337,peepLSTM
95,950,0.6640625,81,1337,peepLSTM
96,960,0.6796875,81,1337,peepLSTM
97,970,0.7265625,81,1337,peepLSTM
98,980,0.640625,81,1337,peepLSTM
99,990,0.6171875,81,1337,peepLSTM
100,1000,0.63671875,81,1337,peepLSTM
101,1010,0.6953125,81,1337,peepLSTM
102,1020,0.68359375,81,1337,peepLSTM
103,1030,0.7578125,81,1337,peepLSTM
104,1040,0.734375,81,1337,peepLSTM
105,1050,0.64453125,81,1337,peepLSTM
106,1060,0.671875,81,1337,peepLSTM
107,1070,0.6328125,81,1337,peepLSTM
108,1080,0.63671875,81,1337,peepLSTM
109,1090,0.6796875,81,1337,peepLSTM
110,1100,0.703125,81,1337,peepLSTM
111,1110,0.68359375,81,1337,peepLSTM
112,1120,0.65625,81,1337,peepLSTM
113,1130,0.671875,81,1337,peepLSTM
114,1140,0.67578125,81,1337,peepLSTM
115,1150,0.671875,81,1337,peepLSTM
116,1160,0.6953125,81,1337,peepLSTM
117,1170,0.67578125,81,1337,peepLSTM
