,step,loss,seq_length,seed,model
0,0,1.0970300436019897,41,42,LSTM
1,10,0.9323230981826782,41,42,LSTM
2,20,0.7810624241828918,41,42,LSTM
3,30,0.7060195207595825,41,42,LSTM
4,40,0.6964478492736816,41,42,LSTM
5,50,0.6629161834716797,41,42,LSTM
6,60,0.6281582713127136,41,42,LSTM
7,70,0.6570228338241577,41,42,LSTM
8,80,0.6250113844871521,41,42,LSTM
9,90,0.6481446623802185,41,42,LSTM
10,100,0.6481234431266785,41,42,LSTM
11,110,0.6390919089317322,41,42,LSTM
12,120,0.6372528076171875,41,42,LSTM
13,130,0.6151812076568604,41,42,LSTM
14,140,0.6315147876739502,41,42,LSTM
15,150,0.6389305591583252,41,42,LSTM
16,160,0.6640638113021851,41,42,LSTM
17,170,0.6318287253379822,41,42,LSTM
18,180,0.6370170712471008,41,42,LSTM
19,190,0.6257545351982117,41,42,LSTM
20,200,0.6336174607276917,41,42,LSTM
21,210,0.6727540493011475,41,42,LSTM
22,220,0.6186873316764832,41,42,LSTM
23,230,0.6235916018486023,41,42,LSTM
24,240,0.6412555575370789,41,42,LSTM
25,250,0.6292281746864319,41,42,LSTM
26,260,0.6486462354660034,41,42,LSTM
27,270,0.6600689888000488,41,42,LSTM
28,280,0.6372232437133789,41,42,LSTM
29,290,0.6491973996162415,41,42,LSTM
30,300,0.6285387873649597,41,42,LSTM
31,310,0.6144534945487976,41,42,LSTM
32,320,0.6274968981742859,41,42,LSTM
33,330,0.6658949255943298,41,42,LSTM
34,340,0.6372132897377014,41,42,LSTM
35,350,0.5891230702400208,41,42,LSTM
36,360,0.6156116127967834,41,42,LSTM
37,370,0.6010527610778809,41,42,LSTM
38,380,0.6589304804801941,41,42,LSTM
39,390,0.6886194348335266,41,42,LSTM
40,400,0.6325709223747253,41,42,LSTM
41,410,0.593984842300415,41,42,LSTM
42,420,0.6430844068527222,41,42,LSTM
43,430,0.6379988789558411,41,42,LSTM
44,440,0.6580673456192017,41,42,LSTM
45,450,0.6219727993011475,41,42,LSTM
46,460,0.6232135891914368,41,42,LSTM
47,470,0.6364559531211853,41,42,LSTM
48,480,0.6721081137657166,41,42,LSTM
49,490,0.6245361566543579,41,42,LSTM
50,500,0.6557547450065613,41,42,LSTM
51,510,0.6225923299789429,41,42,LSTM
52,520,0.6331385970115662,41,42,LSTM
53,530,0.6223926544189453,41,42,LSTM
54,540,0.6221559047698975,41,42,LSTM
55,550,0.6274024248123169,41,42,LSTM
56,560,0.639021098613739,41,42,LSTM
57,570,0.6417723298072815,41,42,LSTM
58,580,0.6247797608375549,41,42,LSTM
59,590,0.6256879568099976,41,42,LSTM
60,600,0.6391801238059998,41,42,LSTM
61,610,0.6311545372009277,41,42,LSTM
62,620,0.6775985360145569,41,42,LSTM
63,630,0.6709886789321899,41,42,LSTM
64,640,0.6349966526031494,41,42,LSTM
65,650,0.6121091246604919,41,42,LSTM
66,660,0.621277391910553,41,42,LSTM
67,670,0.6231448650360107,41,42,LSTM
68,680,0.6188880205154419,41,42,LSTM
69,690,0.5848130583763123,41,42,LSTM
70,700,0.5760630965232849,41,42,LSTM
71,710,0.6279953122138977,41,42,LSTM
72,720,0.6245412826538086,41,42,LSTM
73,730,0.585538387298584,41,42,LSTM
74,740,0.6431300640106201,41,42,LSTM
75,750,0.6671566367149353,41,42,LSTM
76,760,0.591642439365387,41,42,LSTM
77,770,0.6020662784576416,41,42,LSTM
78,780,0.6281524896621704,41,42,LSTM
79,790,0.6072970628738403,41,42,LSTM
80,800,0.580189049243927,41,42,LSTM
81,810,0.5826857686042786,41,42,LSTM
82,820,0.5879016518592834,41,42,LSTM
83,830,0.5932337641716003,41,42,LSTM
84,840,0.6142204999923706,41,42,LSTM
85,850,0.6115462183952332,41,42,LSTM
86,860,0.6307193636894226,41,42,LSTM
87,870,0.6299922466278076,41,42,LSTM
88,880,0.5827254056930542,41,42,LSTM
89,890,0.5895633101463318,41,42,LSTM
90,900,0.5703316926956177,41,42,LSTM
91,910,0.5914102792739868,41,42,LSTM
92,920,0.5780866742134094,41,42,LSTM
93,930,0.6014225482940674,41,42,LSTM
94,940,0.5379267334938049,41,42,LSTM
95,950,0.5977794528007507,41,42,LSTM
96,960,0.624092698097229,41,42,LSTM
97,970,0.5600932240486145,41,42,LSTM
98,980,0.5661655068397522,41,42,LSTM
99,990,0.551690936088562,41,42,LSTM
100,1000,0.5303645133972168,41,42,LSTM
101,1010,0.5671694874763489,41,42,LSTM
102,1020,0.5193614959716797,41,42,LSTM
103,1030,0.4892030954360962,41,42,LSTM
104,1040,0.450770765542984,41,42,LSTM
105,1050,0.4637497663497925,41,42,LSTM
106,1060,0.4230459928512573,41,42,LSTM
107,1070,0.44736114144325256,41,42,LSTM
108,1080,0.45167335867881775,41,42,LSTM
109,1090,0.41808685660362244,41,42,LSTM
110,1100,0.4395539164543152,41,42,LSTM
111,1110,0.453103631734848,41,42,LSTM
112,1120,0.43754690885543823,41,42,LSTM
113,1130,0.45739343762397766,41,42,LSTM
114,1140,0.3862832486629486,41,42,LSTM
115,1150,0.4023141860961914,41,42,LSTM
116,1160,0.4042361080646515,41,42,LSTM
117,1170,0.42417091131210327,41,42,LSTM
118,1180,0.4035724997520447,41,42,LSTM
119,1190,0.3457888960838318,41,42,LSTM
120,1200,0.4011669456958771,41,42,LSTM
121,1210,0.4094546139240265,41,42,LSTM
122,1220,0.37920132279396057,41,42,LSTM
123,1230,0.3268232047557831,41,42,LSTM
124,1240,0.4016782343387604,41,42,LSTM
125,1250,0.3711678981781006,41,42,LSTM
126,1260,0.3891429603099823,41,42,LSTM
127,1270,0.35188254714012146,41,42,LSTM
128,1280,0.35839131474494934,41,42,LSTM
129,1290,0.37000685930252075,41,42,LSTM
130,1300,0.3217933773994446,41,42,LSTM
131,1310,0.3846322000026703,41,42,LSTM
132,1320,0.33685731887817383,41,42,LSTM
133,1330,0.2916039228439331,41,42,LSTM
134,1340,0.28561490774154663,41,42,LSTM
135,1350,0.2993697226047516,41,42,LSTM
136,1360,0.2659911811351776,41,42,LSTM
137,1370,0.2761671543121338,41,42,LSTM
138,1380,0.3257805407047272,41,42,LSTM
139,1390,0.2709788382053375,41,42,LSTM
140,1400,0.2660315930843353,41,42,LSTM
141,1410,0.25399836897850037,41,42,LSTM
142,1420,0.2562781274318695,41,42,LSTM
143,1430,0.2786351442337036,41,42,LSTM
144,1440,0.31884631514549255,41,42,LSTM
145,1450,0.2927706241607666,41,42,LSTM
146,1460,0.29440340399742126,41,42,LSTM
147,1470,0.24745118618011475,41,42,LSTM
148,1480,0.23413583636283875,41,42,LSTM
149,1490,0.25876861810684204,41,42,LSTM
150,1500,0.267207533121109,41,42,LSTM
151,1510,0.43558260798454285,41,42,LSTM
152,1520,0.602563738822937,41,42,LSTM
153,1530,0.4681467115879059,41,42,LSTM
154,1540,0.29796338081359863,41,42,LSTM
155,1550,0.31558144092559814,41,42,LSTM
156,1560,0.23260778188705444,41,42,LSTM
157,1570,0.2914225161075592,41,42,LSTM
158,1580,0.24004513025283813,41,42,LSTM
159,1590,0.2703233063220978,41,42,LSTM
160,1600,0.2819992005825043,41,42,LSTM
161,1610,0.3009198009967804,41,42,LSTM
162,1620,0.2476281076669693,41,42,LSTM
163,1630,0.23804202675819397,41,42,LSTM
164,1640,0.2835307717323303,41,42,LSTM
165,1650,0.19064408540725708,41,42,LSTM
166,1660,0.22768299281597137,41,42,LSTM
167,1670,0.20863832533359528,41,42,LSTM
168,1680,0.22553889453411102,41,42,LSTM
169,1690,0.2133461982011795,41,42,LSTM
170,1700,0.20026053488254547,41,42,LSTM
171,1710,0.1849551945924759,41,42,LSTM
172,1720,0.2413526177406311,41,42,LSTM
173,1730,0.2573739290237427,41,42,LSTM
174,1740,0.26371482014656067,41,42,LSTM
175,1750,0.33470529317855835,41,42,LSTM
176,1760,0.2784059941768646,41,42,LSTM
177,1770,0.2704620361328125,41,42,LSTM
178,1780,0.1902897208929062,41,42,LSTM
179,1790,0.28447502851486206,41,42,LSTM
180,1800,0.21316319704055786,41,42,LSTM
181,1810,0.230815589427948,41,42,LSTM
182,1820,0.1936226338148117,41,42,LSTM
183,1830,0.2933327853679657,41,42,LSTM
184,1840,0.2209104299545288,41,42,LSTM
185,1850,0.2294551134109497,41,42,LSTM
186,1860,0.16461364924907684,41,42,LSTM
187,1870,0.17704692482948303,41,42,LSTM
188,1880,0.19967696070671082,41,42,LSTM
189,1890,0.16823810338974,41,42,LSTM
190,1900,0.2099442481994629,41,42,LSTM
191,1910,0.26181936264038086,41,42,LSTM
192,1920,0.2045215666294098,41,42,LSTM
193,1930,0.18886591494083405,41,42,LSTM
194,1940,0.25982093811035156,41,42,LSTM
195,1950,0.27705132961273193,41,42,LSTM
196,1960,0.24695494771003723,41,42,LSTM
197,1970,0.2718665599822998,41,42,LSTM
198,1980,0.1807105541229248,41,42,LSTM
199,1990,0.16620215773582458,41,42,LSTM
200,2000,0.3032549321651459,41,42,LSTM
201,2010,0.3944990038871765,41,42,LSTM
202,2020,0.14305607974529266,41,42,LSTM
203,2030,0.17899222671985626,41,42,LSTM
204,2040,0.21424438059329987,41,42,LSTM
205,2050,0.13409219682216644,41,42,LSTM
206,2060,0.16752523183822632,41,42,LSTM
207,2070,0.15823481976985931,41,42,LSTM
208,2080,0.13375122845172882,41,42,LSTM
209,2090,0.15590356290340424,41,42,LSTM
210,2100,0.22653838992118835,41,42,LSTM
211,2110,0.14306055009365082,41,42,LSTM
212,2120,0.16739141941070557,41,42,LSTM
213,2130,0.14147724211215973,41,42,LSTM
214,2140,0.19624009728431702,41,42,LSTM
215,2150,0.3497518301010132,41,42,LSTM
216,2160,0.153944730758667,41,42,LSTM
217,2170,0.15499289333820343,41,42,LSTM
218,2180,0.20960551500320435,41,42,LSTM
219,2190,0.23116420209407806,41,42,LSTM
220,2200,0.21954230964183807,41,42,LSTM
221,2210,0.29843729734420776,41,42,LSTM
222,2220,0.19021964073181152,41,42,LSTM
223,2230,0.25533246994018555,41,42,LSTM
224,2240,0.18600653111934662,41,42,LSTM
225,2250,0.12670744955539703,41,42,LSTM
226,2260,0.13138580322265625,41,42,LSTM
227,2270,0.14171119034290314,41,42,LSTM
228,2280,0.11207468807697296,41,42,LSTM
229,2290,0.09939931333065033,41,42,LSTM
230,2300,0.09508585184812546,41,42,LSTM
231,2310,0.14523571729660034,41,42,LSTM
232,2320,0.09060738980770111,41,42,LSTM
233,2330,0.2816269099712372,41,42,LSTM
234,2340,0.12521569430828094,41,42,LSTM
235,2350,0.10005105286836624,41,42,LSTM
236,2360,0.0989496037364006,41,42,LSTM
237,2370,0.13885563611984253,41,42,LSTM
238,2380,0.11134351044893265,41,42,LSTM
239,2390,0.1424240618944168,41,42,LSTM
240,2400,0.08937103301286697,41,42,LSTM
241,2410,0.14436526596546173,41,42,LSTM
242,2420,0.17266082763671875,41,42,LSTM
243,2430,0.11762259155511856,41,42,LSTM
244,2440,0.09349945932626724,41,42,LSTM
245,2450,0.10103412717580795,41,42,LSTM
246,2460,0.09721480309963226,41,42,LSTM
247,2470,0.1793862283229828,41,42,LSTM
248,2480,0.14994613826274872,41,42,LSTM
249,2490,0.08324719965457916,41,42,LSTM
250,2500,0.15507872402668,41,42,LSTM
251,2510,0.21001945436000824,41,42,LSTM
252,2520,0.20361551642417908,41,42,LSTM
253,2530,0.35222724080085754,41,42,LSTM
254,2540,0.18714287877082825,41,42,LSTM
255,2550,0.14691917598247528,41,42,LSTM
256,2560,0.11270153522491455,41,42,LSTM
257,2570,0.10273239761590958,41,42,LSTM
258,2580,0.12322349846363068,41,42,LSTM
259,2590,0.07619186490774155,41,42,LSTM
260,2600,0.08199229091405869,41,42,LSTM
261,2610,0.4154201149940491,41,42,LSTM
262,2620,0.1494496464729309,41,42,LSTM
263,2630,0.085985466837883,41,42,LSTM
264,2640,0.11235704272985458,41,42,LSTM
265,2650,0.11381632089614868,41,42,LSTM
266,2660,0.17762187123298645,41,42,LSTM
267,2670,0.10874470323324203,41,42,LSTM
268,2680,0.16168183088302612,41,42,LSTM
269,2690,0.10239899903535843,41,42,LSTM
270,2700,0.1442553550004959,41,42,LSTM
271,2710,0.05637072026729584,41,42,LSTM
272,2720,0.19476276636123657,41,42,LSTM
273,2730,0.04501698911190033,41,42,LSTM
274,2740,0.048146188259124756,41,42,LSTM
275,2750,0.034552980214357376,41,42,LSTM
276,2760,0.0477789007127285,41,42,LSTM
277,2770,0.07729370892047882,41,42,LSTM
278,2780,0.11872757226228714,41,42,LSTM
279,2790,0.08075274527072906,41,42,LSTM
280,2800,0.0314515084028244,41,42,LSTM
281,2810,0.05046726018190384,41,42,LSTM
282,2820,0.06917218118906021,41,42,LSTM
283,2830,0.1579228639602661,41,42,LSTM
284,2840,0.05509350448846817,41,42,LSTM
285,2850,0.044474467635154724,41,42,LSTM
286,2860,0.044020719826221466,41,42,LSTM
287,2870,0.03356136381626129,41,42,LSTM
288,2880,0.0436473973095417,41,42,LSTM
289,2890,0.03919702395796776,41,42,LSTM
290,2900,0.03868098184466362,41,42,LSTM
291,2910,0.039330605417490005,41,42,LSTM
292,2920,0.040928229689598083,41,42,LSTM
293,2930,0.052463091909885406,41,42,LSTM
294,2940,0.0684979259967804,41,42,LSTM
295,2950,0.021059734746813774,41,42,LSTM
296,2960,0.02147712931036949,41,42,LSTM
297,2970,0.09746763110160828,41,42,LSTM
298,2980,0.1139286532998085,41,42,LSTM
299,2990,0.13251253962516785,41,42,LSTM
300,3000,0.05126933380961418,41,42,LSTM
