,step,loss,seq_length,seed,model
0,0,1.378514051437378,81,1337,LSTM
1,10,1.0910876989364624,81,1337,LSTM
2,20,0.9299398064613342,81,1337,LSTM
3,30,0.8261581063270569,81,1337,LSTM
4,40,0.7324036955833435,81,1337,LSTM
5,50,0.7186710238456726,81,1337,LSTM
6,60,0.706737756729126,81,1337,LSTM
7,70,0.7067264914512634,81,1337,LSTM
8,80,0.6705461144447327,81,1337,LSTM
9,90,0.6895954608917236,81,1337,LSTM
10,100,0.6746249794960022,81,1337,LSTM
11,110,0.66392582654953,81,1337,LSTM
12,120,0.669963002204895,81,1337,LSTM
13,130,0.6352441310882568,81,1337,LSTM
14,140,0.6363025903701782,81,1337,LSTM
15,150,0.6585545539855957,81,1337,LSTM
16,160,0.673887312412262,81,1337,LSTM
17,170,0.5933436751365662,81,1337,LSTM
18,180,0.6652057766914368,81,1337,LSTM
19,190,0.6471656560897827,81,1337,LSTM
20,200,0.656345784664154,81,1337,LSTM
21,210,0.6418097615242004,81,1337,LSTM
22,220,0.6243471503257751,81,1337,LSTM
23,230,0.6217314600944519,81,1337,LSTM
24,240,0.6132950782775879,81,1337,LSTM
25,250,0.6599529981613159,81,1337,LSTM
26,260,0.6412009000778198,81,1337,LSTM
27,270,0.649648904800415,81,1337,LSTM
28,280,0.6291854977607727,81,1337,LSTM
29,290,0.6197081208229065,81,1337,LSTM
30,300,0.629200279712677,81,1337,LSTM
31,310,0.6334686875343323,81,1337,LSTM
32,320,0.6555517911911011,81,1337,LSTM
33,330,0.6165820360183716,81,1337,LSTM
34,340,0.6649540066719055,81,1337,LSTM
35,350,0.6499454975128174,81,1337,LSTM
36,360,0.644080400466919,81,1337,LSTM
37,370,0.6261101961135864,81,1337,LSTM
38,380,0.6646101474761963,81,1337,LSTM
39,390,0.5771687626838684,81,1337,LSTM
40,400,0.6857721209526062,81,1337,LSTM
41,410,0.6398773789405823,81,1337,LSTM
42,420,0.6298956274986267,81,1337,LSTM
43,430,0.6374430060386658,81,1337,LSTM
44,440,0.6108614206314087,81,1337,LSTM
45,450,0.6120063066482544,81,1337,LSTM
46,460,0.6451025605201721,81,1337,LSTM
47,470,0.6078888177871704,81,1337,LSTM
48,480,0.5852245688438416,81,1337,LSTM
49,490,0.630366861820221,81,1337,LSTM
50,500,0.6172326803207397,81,1337,LSTM
51,510,0.6341392993927002,81,1337,LSTM
52,520,0.6067914366722107,81,1337,LSTM
53,530,0.6276761889457703,81,1337,LSTM
54,540,0.6299731135368347,81,1337,LSTM
55,550,0.6341611742973328,81,1337,LSTM
56,560,0.6056538224220276,81,1337,LSTM
57,570,0.5754072666168213,81,1337,LSTM
58,580,0.6468796133995056,81,1337,LSTM
59,590,0.6107028722763062,81,1337,LSTM
60,600,0.6330215930938721,81,1337,LSTM
61,610,0.6185033321380615,81,1337,LSTM
62,620,0.6255031824111938,81,1337,LSTM
63,630,0.6132552027702332,81,1337,LSTM
64,640,0.60959392786026,81,1337,LSTM
65,650,0.6315105557441711,81,1337,LSTM
66,660,0.6464289426803589,81,1337,LSTM
67,670,0.6352922916412354,81,1337,LSTM
68,680,0.6007522344589233,81,1337,LSTM
69,690,0.628920316696167,81,1337,LSTM
70,700,0.6467227339744568,81,1337,LSTM
71,710,0.6351003050804138,81,1337,LSTM
72,720,0.6228513121604919,81,1337,LSTM
73,730,0.6169822216033936,81,1337,LSTM
74,740,0.642104983329773,81,1337,LSTM
75,750,0.63566654920578,81,1337,LSTM
76,760,0.6119668483734131,81,1337,LSTM
77,770,0.6205546855926514,81,1337,LSTM
78,780,0.6166620254516602,81,1337,LSTM
79,790,0.6689223647117615,81,1337,LSTM
80,800,0.5747148990631104,81,1337,LSTM
81,810,0.6457199454307556,81,1337,LSTM
82,820,0.6152159571647644,81,1337,LSTM
83,830,0.6160017251968384,81,1337,LSTM
84,840,0.6394501328468323,81,1337,LSTM
85,850,0.6086679697036743,81,1337,LSTM
86,860,0.6826324462890625,81,1337,LSTM
87,870,0.591779351234436,81,1337,LSTM
88,880,0.63388592004776,81,1337,LSTM
89,890,0.6288751363754272,81,1337,LSTM
90,900,0.6018471717834473,81,1337,LSTM
91,910,0.6477048397064209,81,1337,LSTM
92,920,0.6302042603492737,81,1337,LSTM
93,930,0.6060662865638733,81,1337,LSTM
94,940,0.6139991879463196,81,1337,LSTM
95,950,0.6201190948486328,81,1337,LSTM
96,960,0.6134522557258606,81,1337,LSTM
97,970,0.6356810331344604,81,1337,LSTM
98,980,0.6279955506324768,81,1337,LSTM
99,990,0.6048761010169983,81,1337,LSTM
100,1000,0.6226987242698669,81,1337,LSTM
101,1010,0.6170685291290283,81,1337,LSTM
102,1020,0.6279282569885254,81,1337,LSTM
103,1030,0.6122027635574341,81,1337,LSTM
104,1040,0.6151733994483948,81,1337,LSTM
105,1050,0.6102654337882996,81,1337,LSTM
106,1060,0.6416946649551392,81,1337,LSTM
107,1070,0.6264972686767578,81,1337,LSTM
108,1080,0.6158486604690552,81,1337,LSTM
109,1090,0.6523154377937317,81,1337,LSTM
110,1100,0.5914787650108337,81,1337,LSTM
111,1110,0.6287416219711304,81,1337,LSTM
112,1120,0.6316238641738892,81,1337,LSTM
113,1130,0.5890944600105286,81,1337,LSTM
114,1140,0.6046332716941833,81,1337,LSTM
115,1150,0.608413815498352,81,1337,LSTM
116,1160,0.6008191704750061,81,1337,LSTM
117,1170,0.6360909342765808,81,1337,LSTM
118,1180,0.6325817704200745,81,1337,LSTM
119,1190,0.6122376322746277,81,1337,LSTM
120,1200,0.5781934857368469,81,1337,LSTM
121,1210,0.6104969382286072,81,1337,LSTM
122,1220,0.6080683469772339,81,1337,LSTM
123,1230,0.5881993770599365,81,1337,LSTM
124,1240,0.571724534034729,81,1337,LSTM
125,1250,0.6412740349769592,81,1337,LSTM
126,1260,0.5703657269477844,81,1337,LSTM
127,1270,0.6202670335769653,81,1337,LSTM
128,1280,0.6344608664512634,81,1337,LSTM
129,1290,0.6168006062507629,81,1337,LSTM
130,1300,0.5525745153427124,81,1337,LSTM
131,1310,0.6659870743751526,81,1337,LSTM
132,1320,0.6600015163421631,81,1337,LSTM
133,1330,0.6578445434570312,81,1337,LSTM
134,1340,0.6463519930839539,81,1337,LSTM
