,step,loss,seq_length,seed,model
0,0,1.5944037437438965,41,1994,LSTM
1,10,1.1681441068649292,41,1994,LSTM
2,20,0.9416694045066833,41,1994,LSTM
3,30,0.8241881728172302,41,1994,LSTM
4,40,0.764676034450531,41,1994,LSTM
5,50,0.7086368799209595,41,1994,LSTM
6,60,0.6500093340873718,41,1994,LSTM
7,70,0.658120334148407,41,1994,LSTM
8,80,0.6773389577865601,41,1994,LSTM
9,90,0.620185375213623,41,1994,LSTM
10,100,0.6306816935539246,41,1994,LSTM
11,110,0.6432511210441589,41,1994,LSTM
12,120,0.6336768865585327,41,1994,LSTM
13,130,0.6300190091133118,41,1994,LSTM
14,140,0.6773872375488281,41,1994,LSTM
15,150,0.6402688026428223,41,1994,LSTM
16,160,0.6476041674613953,41,1994,LSTM
17,170,0.6466448307037354,41,1994,LSTM
18,180,0.6730430126190186,41,1994,LSTM
19,190,0.6741159558296204,41,1994,LSTM
20,200,0.6261099576950073,41,1994,LSTM
21,210,0.622377336025238,41,1994,LSTM
22,220,0.6428032517433167,41,1994,LSTM
23,230,0.6339559555053711,41,1994,LSTM
24,240,0.6545849442481995,41,1994,LSTM
25,250,0.6378821134567261,41,1994,LSTM
26,260,0.6156467199325562,41,1994,LSTM
27,270,0.6282156109809875,41,1994,LSTM
28,280,0.638837456703186,41,1994,LSTM
29,290,0.6494548320770264,41,1994,LSTM
30,300,0.6547132134437561,41,1994,LSTM
31,310,0.6392310857772827,41,1994,LSTM
32,320,0.6281371712684631,41,1994,LSTM
33,330,0.6567592024803162,41,1994,LSTM
34,340,0.6235243678092957,41,1994,LSTM
35,350,0.632331132888794,41,1994,LSTM
36,360,0.6776176691055298,41,1994,LSTM
37,370,0.6080644130706787,41,1994,LSTM
38,380,0.6466559171676636,41,1994,LSTM
39,390,0.6482691764831543,41,1994,LSTM
40,400,0.6588178277015686,41,1994,LSTM
41,410,0.6417575478553772,41,1994,LSTM
42,420,0.5881397128105164,41,1994,LSTM
43,430,0.6504725813865662,41,1994,LSTM
44,440,0.6564705967903137,41,1994,LSTM
45,450,0.6334728002548218,41,1994,LSTM
46,460,0.638982892036438,41,1994,LSTM
47,470,0.6508708000183105,41,1994,LSTM
48,480,0.6248852610588074,41,1994,LSTM
49,490,0.5708373785018921,41,1994,LSTM
50,500,0.6053768396377563,41,1994,LSTM
51,510,0.6097975373268127,41,1994,LSTM
52,520,0.5605083703994751,41,1994,LSTM
53,530,0.6118035316467285,41,1994,LSTM
54,540,0.5658850073814392,41,1994,LSTM
