,step,acc,seq_length,seed,model
0,0,0.33203125,41,1994,LSTM
1,10,0.36328125,41,1994,LSTM
2,20,0.4921875,41,1994,LSTM
3,30,0.640625,41,1994,LSTM
4,40,0.65234375,41,1994,LSTM
5,50,0.66796875,41,1994,LSTM
6,60,0.73046875,41,1994,LSTM
7,70,0.69140625,41,1994,LSTM
8,80,0.65625,41,1994,LSTM
9,90,0.71875,41,1994,LSTM
10,100,0.6953125,41,1994,LSTM
11,110,0.671875,41,1994,LSTM
12,120,0.69140625,41,1994,LSTM
13,130,0.6875,41,1994,LSTM
14,140,0.62109375,41,1994,LSTM
15,150,0.671875,41,1994,LSTM
16,160,0.66015625,41,1994,LSTM
17,170,0.65234375,41,1994,LSTM
18,180,0.625,41,1994,LSTM
19,190,0.6171875,41,1994,LSTM
20,200,0.69140625,41,1994,LSTM
21,210,0.6875,41,1994,LSTM
22,220,0.66015625,41,1994,LSTM
23,230,0.66796875,41,1994,LSTM
24,240,0.64453125,41,1994,LSTM
25,250,0.66796875,41,1994,LSTM
26,260,0.703125,41,1994,LSTM
27,270,0.67578125,41,1994,LSTM
28,280,0.66796875,41,1994,LSTM
29,290,0.65234375,41,1994,LSTM
30,300,0.6328125,41,1994,LSTM
31,310,0.6640625,41,1994,LSTM
32,320,0.671875,41,1994,LSTM
33,330,0.640625,41,1994,LSTM
34,340,0.6875,41,1994,LSTM
35,350,0.67578125,41,1994,LSTM
36,360,0.60546875,41,1994,LSTM
37,370,0.703125,41,1994,LSTM
38,380,0.65625,41,1994,LSTM
39,390,0.64453125,41,1994,LSTM
40,400,0.64453125,41,1994,LSTM
41,410,0.6640625,41,1994,LSTM
42,420,0.72265625,41,1994,LSTM
43,430,0.64453125,41,1994,LSTM
44,440,0.6328125,41,1994,LSTM
45,450,0.6484375,41,1994,LSTM
46,460,0.62890625,41,1994,LSTM
47,470,0.62890625,41,1994,LSTM
48,480,0.65625,41,1994,LSTM
49,490,0.734375,41,1994,LSTM
50,500,0.6875,41,1994,LSTM
51,510,0.6640625,41,1994,LSTM
52,520,0.72265625,41,1994,LSTM
53,530,0.67578125,41,1994,LSTM
54,540,0.71484375,41,1994,LSTM
55,550,0.71484375,41,1994,LSTM
56,560,0.76171875,41,1994,LSTM
57,570,0.68359375,41,1994,LSTM
58,580,0.72265625,41,1994,LSTM
59,590,0.73828125,41,1994,LSTM
60,600,0.7265625,41,1994,LSTM
61,610,0.77734375,41,1994,LSTM
62,620,0.796875,41,1994,LSTM
63,630,0.76953125,41,1994,LSTM
64,640,0.84765625,41,1994,LSTM
65,650,0.8203125,41,1994,LSTM
66,660,0.84765625,41,1994,LSTM
67,670,0.83203125,41,1994,LSTM
68,680,0.84765625,41,1994,LSTM
69,690,0.70703125,41,1994,LSTM
70,700,0.80859375,41,1994,LSTM
71,710,0.73828125,41,1994,LSTM
72,720,0.875,41,1994,LSTM
73,730,0.83203125,41,1994,LSTM
74,740,0.88671875,41,1994,LSTM
75,750,0.93359375,41,1994,LSTM
76,760,0.828125,41,1994,LSTM
77,770,0.81640625,41,1994,LSTM
78,780,0.7578125,41,1994,LSTM
79,790,0.859375,41,1994,LSTM
80,800,0.72265625,41,1994,LSTM
81,810,0.91796875,41,1994,LSTM
82,820,0.9296875,41,1994,LSTM
83,830,0.79296875,41,1994,LSTM
84,840,0.73046875,41,1994,LSTM
85,850,0.90625,41,1994,LSTM
86,860,0.9453125,41,1994,LSTM
87,870,0.93359375,41,1994,LSTM
88,880,0.92578125,41,1994,LSTM
89,890,0.78125,41,1994,LSTM
90,900,0.9296875,41,1994,LSTM
91,910,0.73046875,41,1994,LSTM
92,920,0.88671875,41,1994,LSTM
