,step,loss,seq_length,seed,model
0,0,0.7894212007522583,41,42,peepLSTM
1,10,0.6618497967720032,41,42,peepLSTM
2,20,0.6693415641784668,41,42,peepLSTM
3,30,0.6078284382820129,41,42,peepLSTM
4,40,0.6389347314834595,41,42,peepLSTM
5,50,0.6459105610847473,41,42,peepLSTM
6,60,0.6083123683929443,41,42,peepLSTM
7,70,0.6234090328216553,41,42,peepLSTM
8,80,0.6285437345504761,41,42,peepLSTM
9,90,0.6549716591835022,41,42,peepLSTM
10,100,0.6579304933547974,41,42,peepLSTM
11,110,0.651099681854248,41,42,peepLSTM
12,120,0.6310213804244995,41,42,peepLSTM
13,130,0.6604871153831482,41,42,peepLSTM
14,140,0.591666042804718,41,42,peepLSTM
15,150,0.6544144749641418,41,42,peepLSTM
16,160,0.6528775691986084,41,42,peepLSTM
17,170,0.6556277871131897,41,42,peepLSTM
18,180,0.6387350559234619,41,42,peepLSTM
19,190,0.6628659963607788,41,42,peepLSTM
20,200,0.5788376331329346,41,42,peepLSTM
21,210,0.6486372351646423,41,42,peepLSTM
22,220,0.6006518602371216,41,42,peepLSTM
23,230,0.6422309875488281,41,42,peepLSTM
24,240,0.6157370805740356,41,42,peepLSTM
25,250,0.6337522864341736,41,42,peepLSTM
26,260,0.6244388818740845,41,42,peepLSTM
27,270,0.6333566308021545,41,42,peepLSTM
28,280,0.6316531300544739,41,42,peepLSTM
29,290,0.6493333578109741,41,42,peepLSTM
30,300,0.6027029156684875,41,42,peepLSTM
31,310,0.6202879548072815,41,42,peepLSTM
32,320,0.6412733793258667,41,42,peepLSTM
33,330,0.6131154298782349,41,42,peepLSTM
34,340,0.6192653775215149,41,42,peepLSTM
35,350,0.6582744717597961,41,42,peepLSTM
36,360,0.5913137793540955,41,42,peepLSTM
37,370,0.6025118827819824,41,42,peepLSTM
38,380,0.6720753312110901,41,42,peepLSTM
39,390,0.6620356440544128,41,42,peepLSTM
40,400,0.6557062268257141,41,42,peepLSTM
41,410,0.6191955208778381,41,42,peepLSTM
42,420,0.6506233811378479,41,42,peepLSTM
43,430,0.6312162280082703,41,42,peepLSTM
44,440,0.5637609958648682,41,42,peepLSTM
45,450,0.6344541311264038,41,42,peepLSTM
46,460,0.6043732762336731,41,42,peepLSTM
47,470,0.6265853047370911,41,42,peepLSTM
48,480,0.6650310754776001,41,42,peepLSTM
49,490,0.6104651093482971,41,42,peepLSTM
50,500,0.61463862657547,41,42,peepLSTM
51,510,0.6387757062911987,41,42,peepLSTM
52,520,0.5902436375617981,41,42,peepLSTM
53,530,0.653817355632782,41,42,peepLSTM
54,540,0.603025496006012,41,42,peepLSTM
55,550,0.6436878442764282,41,42,peepLSTM
56,560,0.627246081829071,41,42,peepLSTM
57,570,0.6374492645263672,41,42,peepLSTM
58,580,0.6248509287834167,41,42,peepLSTM
59,590,0.593461275100708,41,42,peepLSTM
60,600,0.6426821351051331,41,42,peepLSTM
