,step,acc,seq_length,seed,model
151,1510,0.8828125,41,42,peepLSTM
152,1520,0.8828125,41,42,peepLSTM
153,1530,0.91796875,41,42,peepLSTM
154,1540,0.78125,41,42,peepLSTM
155,1550,0.91796875,41,42,peepLSTM
156,1560,0.87890625,41,42,peepLSTM
157,1570,0.70703125,41,42,peepLSTM
158,1580,0.7578125,41,42,peepLSTM
159,1590,0.90625,41,42,peepLSTM
160,1600,0.92578125,41,42,peepLSTM
161,1610,0.92578125,41,42,peepLSTM
162,1620,0.93359375,41,42,peepLSTM
163,1630,0.9296875,41,42,peepLSTM
164,1640,0.84375,41,42,peepLSTM
165,1650,0.8671875,41,42,peepLSTM
166,1660,0.890625,41,42,peepLSTM
167,1670,0.921875,41,42,peepLSTM
168,1680,0.9296875,41,42,peepLSTM
169,1690,0.94140625,41,42,peepLSTM
170,1700,0.9140625,41,42,peepLSTM
171,1710,0.87890625,41,42,peepLSTM
172,1720,0.93359375,41,42,peepLSTM
173,1730,0.953125,41,42,peepLSTM
174,1740,0.875,41,42,peepLSTM
175,1750,0.95703125,41,42,peepLSTM
176,1760,0.9140625,41,42,peepLSTM
177,1770,0.87890625,41,42,peepLSTM
178,1780,0.95703125,41,42,peepLSTM
179,1790,0.75,41,42,peepLSTM
180,1800,0.85546875,41,42,peepLSTM
181,1810,0.9375,41,42,peepLSTM
182,1820,0.8828125,41,42,peepLSTM
183,1830,0.90234375,41,42,peepLSTM
184,1840,0.92578125,41,42,peepLSTM
185,1850,0.94921875,41,42,peepLSTM
186,1860,0.83984375,41,42,peepLSTM
187,1870,0.890625,41,42,peepLSTM
188,1880,0.92578125,41,42,peepLSTM
189,1890,0.94140625,41,42,peepLSTM
190,1900,0.91796875,41,42,peepLSTM
191,1910,0.9609375,41,42,peepLSTM
192,1920,0.9140625,41,42,peepLSTM
193,1930,0.96875,41,42,peepLSTM
194,1940,0.9453125,41,42,peepLSTM
195,1950,0.90625,41,42,peepLSTM
196,1960,0.93359375,41,42,peepLSTM
197,1970,0.921875,41,42,peepLSTM
198,1980,0.96484375,41,42,peepLSTM
199,1990,0.89453125,41,42,peepLSTM
200,2000,0.90625,41,42,peepLSTM
201,2010,0.8671875,41,42,peepLSTM
202,2020,0.97265625,41,42,peepLSTM
203,2030,0.9296875,41,42,peepLSTM
204,2040,0.96875,41,42,peepLSTM
205,2050,0.98046875,41,42,peepLSTM
206,2060,0.8359375,41,42,peepLSTM
207,2070,0.8828125,41,42,peepLSTM
208,2080,0.94921875,41,42,peepLSTM
209,2090,0.87109375,41,42,peepLSTM
210,2100,0.9140625,41,42,peepLSTM
211,2110,0.953125,41,42,peepLSTM
212,2120,0.89453125,41,42,peepLSTM
213,2130,0.95703125,41,42,peepLSTM
214,2140,0.97265625,41,42,peepLSTM
215,2150,0.96875,41,42,peepLSTM
