,step,loss,seq_length,seed,model
0,0,1.076660394668579,81,1994,peepLSTM
1,10,0.7153788805007935,81,1994,peepLSTM
2,20,0.6973631978034973,81,1994,peepLSTM
3,30,0.6623846292495728,81,1994,peepLSTM
4,40,0.6512854099273682,81,1994,peepLSTM
5,50,0.6220663785934448,81,1994,peepLSTM
6,60,0.6279093623161316,81,1994,peepLSTM
7,70,0.6285601258277893,81,1994,peepLSTM
8,80,0.6685340404510498,81,1994,peepLSTM
9,90,0.637787938117981,81,1994,peepLSTM
10,100,0.5961831212043762,81,1994,peepLSTM
11,110,0.6641359329223633,81,1994,peepLSTM
12,120,0.6120725870132446,81,1994,peepLSTM
13,130,0.6335023045539856,81,1994,peepLSTM
14,140,0.6360008120536804,81,1994,peepLSTM
15,150,0.6588854789733887,81,1994,peepLSTM
16,160,0.6372107863426208,81,1994,peepLSTM
17,170,0.6369500756263733,81,1994,peepLSTM
18,180,0.654334306716919,81,1994,peepLSTM
19,190,0.6213231682777405,81,1994,peepLSTM
20,200,0.6578913331031799,81,1994,peepLSTM
21,210,0.634669303894043,81,1994,peepLSTM
22,220,0.636249840259552,81,1994,peepLSTM
23,230,0.6226091384887695,81,1994,peepLSTM
24,240,0.6316159963607788,81,1994,peepLSTM
25,250,0.5739143490791321,81,1994,peepLSTM
26,260,0.5834269523620605,81,1994,peepLSTM
27,270,0.6246691942214966,81,1994,peepLSTM
28,280,0.6230605244636536,81,1994,peepLSTM
29,290,0.6289396286010742,81,1994,peepLSTM
30,300,0.5938764214515686,81,1994,peepLSTM
31,310,0.5690803527832031,81,1994,peepLSTM
32,320,0.6158262491226196,81,1994,peepLSTM
33,330,0.6179471015930176,81,1994,peepLSTM
34,340,0.5732405781745911,81,1994,peepLSTM
35,350,0.6182510852813721,81,1994,peepLSTM
36,360,0.6332815885543823,81,1994,peepLSTM
37,370,0.61916583776474,81,1994,peepLSTM
38,380,0.6173853278160095,81,1994,peepLSTM
39,390,0.6026878356933594,81,1994,peepLSTM
40,400,0.5830032229423523,81,1994,peepLSTM
41,410,0.6245556473731995,81,1994,peepLSTM
